id,type,lat,lon,demand,ready_time,due_time,service_time
0,depot,51.215708,71.508529,0,0,1440,0
1,store,51.132413,71.404878,40,900,1200,15
2,store,51.148714,71.472931,50,420,600,15
3,store,51.160255,71.482877,30,420,600,20
4,store,51.127775,71.425327,30,600,900,15
5,store,51.08913,71.40723,20,540,660,25
6,store,51.138941,71.47586,40,960,1200,10
7,store,51.14549,71.41358,50,660,840,10
8,store,51.164625,71.441587,35,600,780,15
9,store,51.173178,71.436646,10,660,780,20
10,store,51.123452,71.479261,15,660,900,10
11,store,51.130301,71.390051,30,660,780,35
12,store,51.09649,71.449942,45,900,1140,25
13,store,51.115512,71.530523,30,960,1140,10
14,store,51.14487,71.52636,25,600,780,10
15,store,51.139402,71.500241,45,480,660,30
16,store,51.193878,71.326702,45,780,1080,30
17,store,51.192369,71.407667,25,960,1140,20
18,store,51.172859,71.379343,45,840,1140,15
19,store,51.175425,71.403617,30,420,660,15
20,store,51.149007,71.370524,20,600,720,35
